2021-06-21 10:06:523 INFO  BasePage :30 - Launching chrome Browser
2021-06-21 10:06:407 INFO  HomePage :18 - Clicking on radio button:[[ChromeDriver: chrome on WINDOWS (86022ecff37b720533093a72d623e030)] -> xpath: //a[@class='ico-register']]
2021-06-21 10:06:270 INFO  BasePage :30 - Launching chrome Browser
2021-06-21 10:06:261 INFO  HomePage :18 - Clicking on radio button:[[ChromeDriver: chrome on WINDOWS (b1e5ac6ac09232c73691bec54f9af0be)] -> xpath: //a[@class='ico-register']]
2021-06-21 10:06:181 INFO  BasePage :30 - Launching chrome Browser
2021-06-21 10:06:293 INFO  HomePage :20 - Clicking on radio button:[[ChromeDriver: chrome on WINDOWS (f63089fd541821abd8a66cbb8232535c)] -> xpath: //a[@class='ico-register']]
2021-06-21 10:06:322 INFO  HomePage :24 - Register Text:[[ChromeDriver: chrome on WINDOWS (f63089fd541821abd8a66cbb8232535c)] -> xpath: //h1[text()='Register']]
2021-06-21 10:06:648 INFO  BasePage :30 - Launching chrome Browser
2021-06-21 10:06:534 INFO  HomePage :20 - Clicking on radio button:[[ChromeDriver: chrome on WINDOWS (cfed052d56b797cc103c93729ae63a06)] -> xpath: //a[@class='ico-register']]
2021-06-21 10:06:579 INFO  HomePage :24 - Register Text:[[ChromeDriver: chrome on WINDOWS (cfed052d56b797cc103c93729ae63a06)] -> xpath: //h1[text()='Register']]
2021-06-21 10:06:511 INFO  BasePage :30 - Launching chrome Browser
2021-06-21 10:06:624 INFO  HomePage :23 - Clicking on radio button:[[ChromeDriver: chrome on WINDOWS (4a9f3245c7c8896af15b90b771b4cde6)] -> xpath: //a[@class='ico-register']]
2021-06-21 10:06:655 INFO  HomePage :27 - Register Text:[[ChromeDriver: chrome on WINDOWS (4a9f3245c7c8896af15b90b771b4cde6)] -> xpath: //h1[text()='Register']]
2021-06-21 10:06:782 INFO  HomePage :33 - Clicking on male button:[[ChromeDriver: chrome on WINDOWS (4a9f3245c7c8896af15b90b771b4cde6)] -> xpath: //label[contains(text(),'Male')]]
2021-06-21 10:06:983 INFO  BasePage :30 - Launching chrome Browser
2021-06-21 10:06:02 INFO  HomePage :23 - Clicking on radio button:[[ChromeDriver: chrome on WINDOWS (084d317dcb7b8980aa77ee9a15145304)] -> xpath: //a[@class='ico-register']]
2021-06-21 10:06:33 INFO  HomePage :27 - Register Text:[[ChromeDriver: chrome on WINDOWS (084d317dcb7b8980aa77ee9a15145304)] -> xpath: //h1[text()='Register']]
2021-06-21 10:06:160 INFO  HomePage :33 - Clicking on male button:[[ChromeDriver: chrome on WINDOWS (084d317dcb7b8980aa77ee9a15145304)] -> xpath: //label[contains(text(),'Male')]]
2021-06-21 10:06:935 INFO  BasePage :30 - Launching chrome Browser
2021-06-21 10:06:506 INFO  HomePage :23 - Clicking on radio button:[[ChromeDriver: chrome on WINDOWS (3e0dc91d2d8dfa6b5750eefe216fc897)] -> xpath: //a[@class='ico-register']]
2021-06-21 10:06:536 INFO  HomePage :27 - Register Text:[[ChromeDriver: chrome on WINDOWS (3e0dc91d2d8dfa6b5750eefe216fc897)] -> xpath: //h1[text()='Register']]
2021-06-21 10:06:671 INFO  HomePage :33 - Clicking on male button:[[ChromeDriver: chrome on WINDOWS (3e0dc91d2d8dfa6b5750eefe216fc897)] -> xpath: //label[contains(text(),'Male')]]
2021-06-21 11:06:461 INFO  BasePage :30 - Launching chrome Browser
2021-06-21 11:06:51 INFO  HomePage :29 - Clicking on radio button:[[ChromeDriver: chrome on WINDOWS (a079d042c1d8c769bee3eaefc9535638)] -> xpath: //a[@class='ico-register']]
2021-06-21 11:06:98 INFO  HomePage :33 - Register Text:[[ChromeDriver: chrome on WINDOWS (a079d042c1d8c769bee3eaefc9535638)] -> xpath: //h1[text()='Register']]
2021-06-21 11:06:235 INFO  HomePage :39 - Clicking on male button:[[ChromeDriver: chrome on WINDOWS (a079d042c1d8c769bee3eaefc9535638)] -> xpath: //label[contains(text(),'Male')]]
2021-06-21 11:06:258 INFO  HomePage :43 - Get first name:[[ChromeDriver: chrome on WINDOWS (a079d042c1d8c769bee3eaefc9535638)] -> xpath: //input[@id='FirstName']]
2021-06-21 11:06:405 INFO  HomePage :48 - Get last name:[[ChromeDriver: chrome on WINDOWS (a079d042c1d8c769bee3eaefc9535638)] -> xpath: //input[@id='LastName']]
2021-06-21 11:06:607 INFO  HomePage :54 - Date:[[ChromeDriver: chrome on WINDOWS (a079d042c1d8c769bee3eaefc9535638)] -> xpath: //select[@name='DateOfBirthDay']//option[contains(text(),'11')]]
2021-06-21 12:06:534 INFO  BasePage :30 - Launching chrome Browser
2021-06-21 12:06:900 INFO  HomePage :50 - Clicking on radio button:[[ChromeDriver: chrome on WINDOWS (61fd22a0c37d9e91e11a2c313870a275)] -> xpath: //a[@class='ico-register']]
2021-06-21 12:06:926 INFO  HomePage :54 - Register Text:[[ChromeDriver: chrome on WINDOWS (61fd22a0c37d9e91e11a2c313870a275)] -> xpath: //h1[text()='Register']]
2021-06-21 12:06:69 INFO  HomePage :60 - Clicking on male button:[[ChromeDriver: chrome on WINDOWS (61fd22a0c37d9e91e11a2c313870a275)] -> xpath: //label[contains(text(),'Male')]]
2021-06-21 12:06:97 INFO  HomePage :64 - Get first name:[[ChromeDriver: chrome on WINDOWS (61fd22a0c37d9e91e11a2c313870a275)] -> xpath: //input[@id='FirstName']]
2021-06-21 12:06:228 INFO  HomePage :69 - Get last name:[[ChromeDriver: chrome on WINDOWS (61fd22a0c37d9e91e11a2c313870a275)] -> xpath: //input[@id='LastName']]
